Comuna,Clasificacion,Nombre,Ubicacion,Has.x.comuna,Observaciones,Otros
1,Plazoleta, Alfonsina Storni,"SAN JUAN, AV. - CEBALLOS, VIRREY - SOLIS - AU 25 DE MAYO",0.5380,NA,NA
1,Plazoleta, Alfonso Castelao,"IRIGOYEN, BERNARDO DE (O) - ESTADOS UNIDOS - INDEPENDENCIA, AV. - IRIGOYEN, BERNARDO DE (E)",0.2360,NA,NA
1,Plazoleta, Anibal Troilo Pichuco,"Vereda ampliada SAENZ PEÑA, ROQUE, Av. (DIAGONAL NORTE) e/ PELLEGRINI, CARLOS y SUIPACHA",0.0300,NA,NA
1,Plazoleta, Azucena Maizani,"DEL LIBERTADOR, AV. - MAIPU",0.2100,NA,NA
1,Plaza, Beatriz Guido,Cochabamba-Paseo Colon AV.- San Juan,0.1200,Puesta en valor 2017,Espacio nuevo
1,Plaza, Canada,"ANTARTIDA ARGENTINA, AV. - SAN MARTIN - MARTINEZ ZUVIRIA, GUSTAVO DR. - RAMOS MEJIA, JOSE M., DR., AV.",1.4930000000000001,NA,NA
1,Plazoleta, Canc. Miguel A. Zavala Or,"ALEM, LEANDRO N., AV. - RECONQUISTA - ROJAS",0.0310,NA,NA
1,Plazoleta, Carlos Jauregui,"COCHABAMBA 1700 Vereda impar (E/ Solís y Entre Ríos), lindando con AU 25 de Mayo",0.1840,NA,NA
1,Plaza,Cecilia Grierson,"SAN JUAN, AV. - CHACABUCO - PERU",0.2470,Instalacion de sistema de riego,NA
1,Plazoleta,Ciriaco Ortiz,"SAENZ PEÑA, ROQUE, PRES., AV. - FLORIDA - MITRE, BARTOLOME",0.0370,NA,NA
1,Plaza,Cnel. Dorrego,"DEFENSA - HUMBERTO IÝ - AIETA, ANSELMO, DON - BETHLEM",0.2070,NA,NA
1,Plazoleta,Cnel. Toribio Tedin,"PELLEGRINI, CARLOS - 9 DE JULIO, AV. - ARROYO - POSADAS",0.1210,NA,NA
1,Plaza, De Cataluña,"9 DE JULIO, AV. - CERRITO - ARROYO - POSADAS",0.3420,NA,NA
1,Plazoleta, De la Memoria,"PASEO COLON, AV. - COCHABAMBA - AU 25 DE MAYO",0.0400,NA,NA
1,Plazoleta,De San Telmo,"GARAY, JUÁN de Av. -PERÚ - Propiedad particular",0.0040,NA,NA
1,Plaza, Del Correo,"SARMIENTO - ROSALES - PERON, JUAN D., TTE. GRAL. - ALEM, LEANDRO N., AV.",0.7970,NA,NA
1,Plazoleta, Del Mercado Modelo,"DE MAYO, AV. - RIVADAVIA, AV. - SAEZ PEÑA, LUIS, PRES.",0.0630,NA,NA
